code,bgm_id,title,director,企画,製作,publish_date
2021-01-01,319126,君が好き。THE ANIMATION 第1巻,彪竜,ふじけん,ピンクパイナップル,2021-01-29
2021-01-02,319126,君が好き。THE ANIMATION 第2巻.,彪竜,ふじけん,ピンクパイナップル,2021-03-26
2021-02-01,323682,OVA 紫陽花の散ル頃に,雷火剣,あんてきぬすっ,ティーレックス,2021-01-29
2021-03-01,323684,OVA 向日葵ハ夜ニ咲ク,雷火剣,あんてきぬすっ,ティーレックス,2021-01-29
2021-04-01,326875,背徳の境界 ～女教師のウラ側～,,びまら座,nur,2021-01-29
2021-04-02,326875,背徳の境界 ～オンナのムコウ側～,,びまら座,nur,2021-03-26
2021-05-01,323744,OVA イジラレ ～復讐催眠～＃1,雷火剣,ばにぃうぉ〜か〜,ティーレックス,2021-02-05
2021-05-02,323744,OVA イジラレ ～復讐催眠～＃2,雷火剣,ばにぃうぉ〜か〜,ティーレックス,2021-02-05
2021-05-03,323744,OVA イジラレ ～復讐催眠～＃3,雷火剣,ばにぃうぉ〜か〜,ティーレックス,2021-03-05
2021-05-04,323744,OVA イジラレ ～復讐催眠～＃4,雷火剣,ばにぃうぉ〜か〜,ティーレックス,2021-03-05
2021-06-01,329344,陸上部女子は俺の生オナホ!!! The Animation 上巻,荒木英樹,,ショーテン,2021-02-26
2021-06-02,329344,陸上部女子は俺の生オナホ!!! The Animation 下巻,荒木英樹,,ショーテン,2021-04-30
2021-07-01,329029,トイレの花子さんVS屈強退魔師 ～悪堕ちマ○コに天誅ザーメン連続中出し～ 第一怪 怪奇『トイレの花子さん』！ 悪堕ち巨乳の吊りスカート,横山ひろみ,姦三,鈴木みら乃,2021-02-26
2021-07-02,329029,トイレの花子さんVS屈強退魔師 ～悪堕ちマ○コに天誅ザーメン連続中出し～ 第二怪 恐怖『メリーさんの電話』！つるぺたロ○ータのオナホ人形,横山ひろみ,姦三,鈴木みら乃,2021-04-30
2021-07-03,329029,トイレの花子さんVS屈強退魔師 ～悪堕ちマ○コに天誅ザーメン連続中出し～ 第三怪（だいさんかい） 戦慄『人面犬』！健康優良犬耳○女に初めての性教育,横山ひろみ,姦三,鈴木みら乃,2021-07-30
2021-07-04,329029,トイレの花子さんVS屈強退魔師 ～悪堕ちマ○コに天誅ザーメン連続中出し～ 第四怪 愕然『口裂け女』!! 爆乳露出痴女に公然わいせつ連続射精~,横山ひろみ,姦三,鈴木みら乃,2021-09-24
2021-08-01,323747,リアルエロゲシチュエーション！2 THE ANIMATION 第1巻,太多秀太,ふじけん,ピンクパイナップル,2021-02-26
2021-08-02,323747,リアルエロゲシチュエーション！2 THE ANIMATION 第2巻,太多秀太,ふじけん,ピンクパイナップル,2021-05-28
2021-09-01,330853,S家に嫁いだＭ嬢の日常 #1,,,BOMB! CUTE! BOMB!,2021-03-12
2021-09-02,330853,S家に嫁いだＭ嬢の日常 #2,,,BOMB! CUTE! BOMB!,2021-03-19
2021-10-01,331561,遠い君に、僕は届かない 前編,伊藤史夫,キャプテン秋山,Queen Bee,2021-03-26
2021-10-02,331561,遠い君に、僕は届かない 後編,伊藤史夫,キャプテン秋山,Queen Bee,2021-03-26
2021-11-01,323745,OVA JK フーゾク学園祭 ＃1 ビッチなギャルたちとお祭り騒ぎ 本番接待と露出ミラーハウス,雷火剣,ばにぃうぉ〜か〜,ティーレックス,2021-04-02
2021-11-02,323745,OVA JK フーゾク学園祭 ＃2 スポーツ少女と本番エクササイズ 競泳水着とブルマの個人指導,雷火剣,ばにぃうぉ〜か〜,ティーレックス,2021-04-02
2021-12-01,334420,ビッチな淫姉さまぁ ＃1,,,Queen Bee,2021-04-23
2021-12-02,334420,ビッチな淫姉さまぁ ＃2,,,Queen Bee,2021-06-25
2021-12-03,334420,ビッチな淫姉さまぁ ＃3,,,Queen Bee,2021-08-27
2021-12-04,334420,ビッチな淫姉さまぁ ＃4,,,Queen Bee,2021-11-05
2021-13-01,329583,指導姦 Day after THE ANIMATION 第1巻~,倉森六郎,ふじけん,セブン,2021-04-30
2021-13-02,329583,指導姦 Day after THE ANIMATION 第2巻~,倉森六郎,ふじけん,セブン,2021-05-28
2021-14-01,329585,搾精病棟 THE ANIMATION ～タチバナ編～,荒木英樹,ふじけん,ピンクパイナップル,2021-04-30
2021-14-02,329585,搾精病棟 THE ANIMATION 第2巻 ～クロカワ編～,荒木英樹,ふじけん,ピンクパイナップル,2022-07-29
2021-14-03,329585,搾精病棟 THE ANIMATION 第3巻 ～ヤマグチ編～,荒木英樹,ふじけん,ピンクパイナップル,2022-08-26
2021-14-04,329585,搾精病棟 THE ANIMATION 第4巻 ～ヒラマツ編～,荒木英樹,ふじけん,ピンクパイナップル,2023-04-28
2021-14-05,329585,搾精病棟 THE ANIMATION 第5巻 ～モチヅキ編～,荒木英樹,ふじけん,ピンクパイナップル,2023-04-28
2021-14-06,329585,搾精病棟 THE ANIMATION 第6巻 ～ヌマジリ編～,荒木英樹,ふじけん,ピンクパイナップル,2023-12-22
2021-14-07,329585,搾精病棟 THE ANIMATION 第7巻 ～キリタニ編～ 前編,荒木英樹,ふじけん,ピンクパイナップル,2023-12-22
